Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
More than 5 years,C,Express.js,MySQL,Kubernetes,Yes,No,No,Robotics Engineer,No,No
More than 5 years,Swift,Kotlin Multiplatform Mobile (KMM),Microsoft SQL Server,CircleCI,No,No,Yes,Full-Stack Developer,No,Yes
1-3 years,PHP,Numpy,MongoDB,AWS,No,Yes,Yes,Full-Stack Developer,No,No
None,Dart,Xamarin,MongoDB,CircleCI,No,Yes,Yes,AI Researcher,Yes,Yes
More than 5 years,C,Flask,SQLite,Kubernetes,No,Yes,No,Network Engineer,Yes,No
More than 5 years,Kotlin,Svelte,MySQL,Git,No,No,Yes,Robotics Engineer,Yes,Yes
More than 5 years,Dart,PyTorch,SQLite,Azure,No,Yes,Yes,Front-End Developer,No,Yes
Less than 1 year,C++,Angular,MySQL,Docker,Yes,No,Yes,Back-End Developer,No,Yes
More than 5 years,Swift,Pandas,Microsoft SQL Server,Apache,Yes,No,Yes,Game Developer,No,No
Less than 1 year,C++,Flask,Microsoft SQL Server,CircleCI,No,No,Yes,Front-End Developer,Yes,Yes
More than 5 years,Rust,WPF,Redis,Travis CI,Yes,Yes,No,Front-End Developer,No,Yes
None,C,Ruby on Rails,PostgreSQL,Terraform,Yes,Yes,No,Cloud Engineer,Yes,No
Less than 1 year,Swift,Ruby on Rails,MongoDB,Travis CI,No,Yes,Yes,Front-End Developer,Yes,Yes
Less than 1 year,C++,Ruby on Rails,OracleDB,GitLab CI/CD,No,No,Yes,Database Administrator,No,Yes
None,JavaScript,Pandas,Redis,AWS,Yes,No,No,DevOps Engineer,No,No
3-5 years,C++,Express.js,MySQL,Docker,Yes,No,No,Cloud Engineer,Yes,Yes
1-3 years,Ruby,SwiftUI,Other (please specify),Apache,No,No,Yes,Data Scientist,Yes,No
More than 5 years,Dart,PyTorch,MySQL,DigitalOcean,Yes,No,Yes,Back-End Developer,Yes,No
None,C,Qt,Microsoft SQL Server,Apache,No,No,Yes,Cybersecurity Analyst,Yes,No
3-5 years,Rust,PyTorch,Microsoft SQL Server,AWS,No,Yes,No,Cloud Engineer,No,Yes
More than 5 years,Java,Wireshark,OracleDB,Other (please specify),Yes,No,No,Systems Analyst,Yes,Yes
3-5 years,C#,GTK,SQLite,Ansible,Yes,No,Yes,Project Manager,No,No
3-5 years,Swift,Django,CassandraDB,Terraform,No,No,Yes,Robotics Engineer,No,No
Less than 1 year,C,Ruby on Rails,Other (please specify),AWS,No,No,Yes,Cloud Engineer,Yes,No
More than 5 years,Java,Ruby on Rails,SQLite,Ansible,No,Yes,Yes,Game Developer,No,No
3-5 years,Rust,TensorFlow,SQLite,GitLab CI/CD,Yes,No,Yes,Database Administrator,No,Yes
1-3 years,Ruby,Keras,MySQL,CircleCI,Yes,Yes,No,Data Engineer,Yes,Yes
None,C#,Keras,Other (please specify),Google Cloud Platform,Yes,No,Yes,Product Manager,No,No
3-5 years,C++,Angular,OracleDB,Git,Yes,No,Yes,Data Engineer,No,Yes
None,Kotlin,GTK,MongoDB,AWS,No,No,No,Cybersecurity Analyst,Yes,Yes
Less than 1 year,C#,Kali Linux,OracleDB,AWS,Yes,Yes,Yes,Mobile Developer,No,Yes
1-3 years,JavaScript,PyTorch,MongoDB,Google Cloud Platform,Yes,No,No,Machine Learning Engineer,No,No
1-3 years,Ruby,Express.js,Redis,Other (please specify),Yes,Yes,No,Software Engineer,Yes,Yes
Less than 1 year,C,Xamarin,Microsoft SQL Server,Ansible,No,Yes,Yes,Cloud Engineer,Yes,Yes
None,C#,Kali Linux,SQLite,Ansible,No,No,No,Front-End Developer,Yes,No
None,C#,Vue.js,MongoDB,GitLab CI/CD,No,Yes,Yes,DevOps Engineer,No,No
None,Java,Vue.js,MongoDB,CircleCI,Yes,Yes,Yes,Cybersecurity Analyst,Yes,Yes
3-5 years,Python,Next.js,OracleDB,Travis CI,Yes,Yes,No,Cloud Engineer,Yes,No
More than 5 years,TypeScript,CryEngine,MongoDB,Google Cloud Platform,No,No,No,Project Manager,No,No
3-5 years,PHP,Electron,Microsoft SQL Server,Ansible,No,Yes,Yes,Robotics Engineer,No,No
Less than 1 year,C#,Metasploit,OracleDB,Other (please specify),Yes,No,No,Full-Stack Developer,Yes,Yes
Less than 1 year,Ruby,Flutter,Other (please specify),Google Cloud Platform,No,Yes,No,Product Manager,Yes,Yes
Less than 1 year,PHP,Svelte,Other (please specify),Kubernetes,Yes,No,No,Systems Analyst,Yes,Yes
Less than 1 year,TypeScript,Unreal Engine,Redis,AWS,No,No,No,Mobile Developer,No,Yes
None,JavaScript,Vue.js,MySQL,Google Cloud Platform,Yes,Yes,Yes,Robotics Engineer,Yes,Yes
None,Go,Flutter,MySQL,Ansible,Yes,No,Yes,Mobile Developer,Yes,No
None,TypeScript,React Native,PostgreSQL,Azure,No,No,Yes,Cybersecurity Analyst,No,No
None,Swift,Electron,Microsoft SQL Server,Terraform,Yes,Yes,No,Systems Analyst,Yes,Yes
3-5 years,Java,JavaFX,SQLite,Apache,No,No,No,Network Engineer,Yes,Yes
More than 5 years,Kotlin,Burp Suite,Redis,CircleCI,Yes,No,Yes,Software Engineer,Yes,No
3-5 years,C,Django,PostgreSQL,GitLab CI/CD,No,Yes,Yes,Robotics Engineer,Yes,Yes
Less than 1 year,Rust,Ruby on Rails,Other (please specify),Nginx,Yes,No,No,Mobile Developer,Yes,No
Less than 1 year,Java,Django,SQLite,Other (please specify),No,No,Yes,Other (please specify),Yes,Yes
Less than 1 year,TypeScript,Express.js,Redis,Google Cloud Platform,Yes,Yes,Yes,Machine Learning Engineer,No,Yes
3-5 years,Ruby,Metasploit,CassandraDB,Terraform,Yes,No,No,Data Engineer,Yes,Yes
3-5 years,TypeScript,.NET Core,MySQL,DigitalOcean,Yes,Yes,Yes,Cybersecurity Analyst,No,No
Less than 1 year,Java,WPF,MongoDB,Jenkins,No,No,No,Game Developer,No,No
More than 5 years,JavaScript,Ruby on Rails,MySQL,Nginx,No,No,Yes,Full-Stack Developer,No,No
Less than 1 year,Go,Xamarin,MySQL,Other (please specify),No,No,Yes,Cybersecurity Analyst,No,No
3-5 years,Rust,Kotlin Multiplatform Mobile (KMM),Other (please specify),Terraform,No,No,No,Other (please specify),Yes,Yes
3-5 years,TypeScript,React Native,Microsoft SQL Server,Docker,Yes,Yes,Yes,Network Engineer,Yes,No
None,Ruby,Ruby on Rails,PostgreSQL,Apache,No,Yes,No,Machine Learning Engineer,No,No
1-3 years,Python,Scikit-Learn,PostgreSQL,Azure,No,No,Yes,Product Manager,No,Yes
None,Dart,Keras,Other (please specify),Apache,Yes,No,Yes,Game Developer,No,Yes
More than 5 years,Kotlin,Unity,Other (please specify),Terraform,No,Yes,No,Full-Stack Developer,Yes,No
None,PHP,TensorFlow,SQLite,Git,Yes,Yes,No,Cybersecurity Analyst,No,Yes
None,Go,Wireshark,SQLite,DigitalOcean,No,No,Yes,Back-End Developer,No,Yes
1-3 years,Dart,Nestjs,CassandraDB,DigitalOcean,No,Yes,No,Other (please specify),Yes,Yes
1-3 years,TypeScript,Nestjs,PostgreSQL,Ansible,No,No,No,Data Engineer,Yes,Yes
3-5 years,TypeScript,JavaFX,Other (please specify),Docker,No,No,No,Software Engineer,No,No
1-3 years,None,React Native,Microsoft SQL Server,Nginx,Yes,Yes,No,Product Manager,Yes,Yes
Less than 1 year,Rust,Unity,Microsoft SQL Server,GitLab CI/CD,No,No,No,Front-End Developer,Yes,No
More than 5 years,Kotlin,CryEngine,Microsoft SQL Server,Travis CI,No,Yes,Yes,Data Engineer,No,No
Less than 1 year,Go,.NET Core,PostgreSQL,Other (please specify),No,No,Yes,Network Engineer,No,Yes
None,Kotlin,Express.js,MongoDB,GitLab CI/CD,Yes,Yes,No,Data Engineer,Yes,No
None,Swift,Keras,CassandraDB,DigitalOcean,No,Yes,No,Mobile Developer,Yes,Yes
None,C++,JavaFX,PostgreSQL,CircleCI,No,Yes,No,Game Developer,Yes,No
More than 5 years,Other (please specify),GTK,SQLite,Ansible,Yes,Yes,No,Mobile Developer,Yes,Yes
More than 5 years,None,.NET Core,MySQL,Kubernetes,Yes,Yes,No,Front-End Developer,Yes,No
3-5 years,Java,Xamarin,Microsoft SQL Server,Apache,No,No,No,Full-Stack Developer,Yes,Yes
1-3 years,None,JavaFX,MySQL,CircleCI,Yes,No,Yes,Systems Analyst,Yes,No
Less than 1 year,C++,OpenVAS,OracleDB,AWS,No,No,Yes,Network Engineer,No,Yes
Less than 1 year,Ruby,Vue.js,Other (please specify),GitLab CI/CD,Yes,Yes,No,Software Engineer,Yes,Yes
1-3 years,JavaScript,Vue.js,CassandraDB,Terraform,Yes,Yes,Yes,Other (please specify),No,Yes
3-5 years,Dart,OpenVAS,CassandraDB,Google Cloud Platform,No,No,No,Systems Analyst,No,Yes
1-3 years,C++,Django,OracleDB,Docker,No,No,Yes,Software Engineer,No,No
1-3 years,JavaScript,Wireshark,CassandraDB,Google Cloud Platform,No,No,Yes,Robotics Engineer,Yes,Yes
3-5 years,Dart,TensorFlow,Other (please specify),Other (please specify),Yes,Yes,Yes,Full-Stack Developer,No,Yes
None,Java,WPF,PostgreSQL,CircleCI,No,Yes,Yes,Cybersecurity Analyst,No,Yes
3-5 years,Rust,GTK,CassandraDB,Apache,No,Yes,Yes,Project Manager,Yes,Yes
3-5 years,C#,.NET Core,MySQL,Apache,No,Yes,Yes,Machine Learning Engineer,No,Yes
Less than 1 year,Dart,Express.js,Microsoft SQL Server,Ansible,Yes,Yes,Yes,Front-End Developer,Yes,No
3-5 years,None,GTK,PostgreSQL,Ansible,No,No,Yes,Network Engineer,Yes,No
None,Other (please specify),Express.js,MySQL,Google Cloud Platform,Yes,Yes,No,Data Scientist,No,No
More than 5 years,C#,GTK,MongoDB,GitLab CI/CD,No,No,No,Full-Stack Developer,No,Yes
3-5 years,Swift,Unity,MongoDB,Other (please specify),No,Yes,No,Data Scientist,No,Yes
More than 5 years,Rust,Django,OracleDB,Google Cloud Platform,Yes,No,Yes,Network Engineer,Yes,Yes
Less than 1 year,None,Godot,Microsoft SQL Server,Other (please specify),No,Yes,Yes,Full-Stack Developer,No,No
1-3 years,Ruby,Ruby on Rails,CassandraDB,Git,No,No,No,Cybersecurity Analyst,No,Yes
None,Kotlin,JavaFX,Other (please specify),Azure,No,Yes,No,Machine Learning Engineer,No,No
Less than 1 year,C++,Unreal Engine,Redis,Azure,Yes,No,Yes,Cybersecurity Analyst,Yes,No
More than 5 years,Go,PyTorch,MySQL,DigitalOcean,Yes,No,Yes,Back-End Developer,Yes,No
Less than 1 year,TypeScript,Pandas,SQLite,Azure,Yes,Yes,Yes,Mobile Developer,Yes,Yes
1-3 years,JavaScript,Metasploit,OracleDB,Azure,No,Yes,Yes,Back-End Developer,No,Yes
More than 5 years,None,Xamarin,PostgreSQL,Kubernetes,No,Yes,No,AI Researcher,No,No
None,JavaScript,SwiftUI,OracleDB,Git,No,Yes,No,Machine Learning Engineer,Yes,No
More than 5 years,C++,Dask,SQLite,Apache,Yes,Yes,Yes,Software Engineer,No,No
1-3 years,Kotlin,Next.js,PostgreSQL,Azure,Yes,Yes,Yes,Data Engineer,Yes,Yes
1-3 years,Go,Next.js,MySQL,GitLab CI/CD,Yes,Yes,Yes,DevOps Engineer,Yes,Yes
1-3 years,TypeScript,React,CassandraDB,Ansible,No,No,Yes,Project Manager,Yes,No
More than 5 years,Java,Flask,Other (please specify),CircleCI,Yes,Yes,No,Front-End Developer,Yes,Yes
1-3 years,Ruby,Vue.js,MySQL,Git,Yes,No,No,Cloud Engineer,No,No
1-3 years,Ruby,CryEngine,Other (please specify),Nginx,Yes,No,No,IT Support Specialist,Yes,No
1-3 years,Dart,Godot,Redis,Terraform,No,Yes,Yes,IT Support Specialist,No,Yes
Less than 1 year,JavaScript,Snort,Other (please specify),Azure,No,Yes,No,Other (please specify),No,Yes
None,Java,Flask,OracleDB,Nginx,Yes,Yes,Yes,Database Administrator,Yes,No
1-3 years,TypeScript,Godot,Other (please specify),Google Cloud Platform,No,No,No,Cybersecurity Analyst,Yes,Yes
More than 5 years,Kotlin,Xamarin,Redis,DigitalOcean,No,Yes,No,Back-End Developer,No,No
None,TypeScript,Express.js,MySQL,Ansible,Yes,No,Yes,Software Engineer,No,Yes
1-3 years,Dart,Burp Suite,PostgreSQL,AWS,Yes,Yes,No,Cloud Engineer,No,No
3-5 years,Other (please specify),Electron,CassandraDB,Docker,No,No,Yes,Mobile Developer,No,No
Less than 1 year,JavaScript,Next.js,SQLite,Nginx,Yes,No,No,Game Developer,No,No
Less than 1 year,TypeScript,React,Redis,CircleCI,Yes,No,Yes,Cloud Engineer,Yes,No
Less than 1 year,Python,React Native,OracleDB,Docker,Yes,Yes,No,Data Engineer,Yes,No
More than 5 years,Swift,Express.js,Other (please specify),AWS,Yes,No,No,Systems Analyst,Yes,Yes
More than 5 years,Dart,.NET Core,Other (please specify),Terraform,No,No,Yes,Machine Learning Engineer,No,No
More than 5 years,Dart,Pandas,MongoDB,Git,Yes,No,No,Product Manager,No,Yes
Less than 1 year,JavaScript,Express.js,OracleDB,Docker,No,Yes,No,Cybersecurity Analyst,No,Yes
More than 5 years,PHP,Burp Suite,Other (please specify),Kubernetes,Yes,Yes,No,Game Developer,Yes,No
More than 5 years,None,GTK,PostgreSQL,Terraform,No,Yes,Yes,Product Manager,Yes,No
3-5 years,Python,JavaFX,Other (please specify),Travis CI,No,No,Yes,Product Manager,No,No
None,Python,Flutter,Other (please specify),Nginx,No,No,Yes,AI Researcher,No,Yes
None,Rust,Ruby on Rails,PostgreSQL,Travis CI,Yes,Yes,Yes,Mobile Developer,Yes,No
1-3 years,Go,Kali Linux,PostgreSQL,Travis CI,Yes,No,Yes,Full-Stack Developer,No,Yes
Less than 1 year,C#,Vue.js,SQLite,Apache,Yes,Yes,No,Machine Learning Engineer,No,No
1-3 years,Go,Flask,Other (please specify),Google Cloud Platform,No,Yes,Yes,Robotics Engineer,Yes,No
More than 5 years,C#,Svelte,PostgreSQL,Docker,No,Yes,No,Database Administrator,No,Yes
1-3 years,None,Unity,PostgreSQL,AWS,Yes,Yes,No,Full-Stack Developer,No,No
None,Ruby,Scikit-Learn,OracleDB,Kubernetes,No,Yes,Yes,Data Scientist,No,No
Less than 1 year,PHP,TensorFlow,Other (please specify),Kubernetes,No,No,No,Robotics Engineer,Yes,No
None,None,Burp Suite,MongoDB,Jenkins,No,Yes,No,Project Manager,Yes,Yes
1-3 years,JavaScript,Pandas,MongoDB,Google Cloud Platform,No,No,Yes,DevOps Engineer,Yes,No
More than 5 years,Python,Dask,PostgreSQL,Terraform,No,Yes,Yes,Mobile Developer,Yes,Yes
Less than 1 year,Python,Svelte,OracleDB,Google Cloud Platform,Yes,Yes,No,Data Engineer,Yes,No
1-3 years,TypeScript,Unity,OracleDB,Jenkins,Yes,Yes,Yes,Mobile Developer,No,Yes
3-5 years,Rust,Godot,MongoDB,Nginx,Yes,No,No,Software Engineer,Yes,No
None,Other (please specify),Unreal Engine,OracleDB,Ansible,Yes,No,No,Software Engineer,Yes,No
More than 5 years,Java,Angular,OracleDB,Other (please specify),Yes,No,Yes,Product Manager,Yes,Yes
More than 5 years,Java,Flutter,CassandraDB,Docker,Yes,No,Yes,IT Support Specialist,Yes,Yes
3-5 years,PHP,Django,Microsoft SQL Server,Google Cloud Platform,No,No,No,Product Manager,No,No
1-3 years,Ruby,PyTorch,SQLite,Jenkins,Yes,Yes,No,Cloud Engineer,Yes,Yes
Less than 1 year,Ruby,SwiftUI,SQLite,Other (please specify),No,Yes,Yes,Data Engineer,No,Yes
3-5 years,C#,Dask,PostgreSQL,Apache,Yes,No,Yes,Machine Learning Engineer,Yes,No
3-5 years,PHP,React,Microsoft SQL Server,Google Cloud Platform,No,No,No,Software Engineer,Yes,Yes
More than 5 years,Dart,Unity,OracleDB,Kubernetes,No,No,No,Data Scientist,No,Yes
More than 5 years,Other (please specify),Wireshark,Redis,GitLab CI/CD,No,No,No,Front-End Developer,No,Yes
1-3 years,C#,Angular,PostgreSQL,Terraform,Yes,Yes,No,Network Engineer,Yes,No
None,Other (please specify),TensorFlow,PostgreSQL,Ansible,No,Yes,No,Cloud Engineer,No,No
None,JavaScript,Wireshark,Redis,Terraform,Yes,Yes,Yes,Software Engineer,Yes,No
1-3 years,None,GTK,OracleDB,Apache,No,Yes,Yes,DevOps Engineer,No,Yes
1-3 years,Python,Unreal Engine,Microsoft SQL Server,Jenkins,Yes,Yes,Yes,IT Support Specialist,No,No
Less than 1 year,Python,Electron,MongoDB,Kubernetes,No,Yes,Yes,AI Researcher,No,Yes
Less than 1 year,Swift,Kali Linux,OracleDB,Other (please specify),No,Yes,Yes,Mobile Developer,No,Yes
3-5 years,Other (please specify),Unreal Engine,PostgreSQL,DigitalOcean,No,Yes,Yes,Data Scientist,Yes,Yes
More than 5 years,PHP,Flask,Microsoft SQL Server,Terraform,No,Yes,No,Systems Analyst,Yes,Yes
More than 5 years,Dart,WPF,Microsoft SQL Server,Nginx,No,Yes,Yes,Full-Stack Developer,Yes,Yes
1-3 years,Java,Kali Linux,OracleDB,GitLab CI/CD,No,Yes,No,Data Scientist,No,No
Less than 1 year,C,Angular,Redis,Azure,Yes,Yes,No,Cybersecurity Analyst,No,No
More than 5 years,Kotlin,Dask,OracleDB,DigitalOcean,No,Yes,Yes,Full-Stack Developer,Yes,No
More than 5 years,Python,Express.js,Other (please specify),Apache,No,Yes,Yes,Machine Learning Engineer,No,Yes
1-3 years,Python,Kali Linux,MySQL,Azure,Yes,Yes,Yes,Cybersecurity Analyst,No,Yes
None,Swift,Next.js,OracleDB,CircleCI,No,No,No,Project Manager,Yes,Yes
1-3 years,C,Unity,Other (please specify),AWS,No,No,No,Machine Learning Engineer,Yes,Yes
1-3 years,TypeScript,Kotlin Multiplatform Mobile (KMM),Microsoft SQL Server,Git,No,No,No,Other (please specify),No,Yes
3-5 years,Java,Django,OracleDB,Jenkins,No,No,Yes,Other (please specify),No,Yes
3-5 years,Rust,GTK,CassandraDB,DigitalOcean,Yes,No,Yes,Robotics Engineer,No,No
Less than 1 year,Go,Nestjs,Other (please specify),Google Cloud Platform,Yes,No,No,Data Scientist,Yes,No
1-3 years,Dart,OpenVAS,OracleDB,CircleCI,Yes,No,Yes,Cloud Engineer,No,Yes
None,C,Angular,PostgreSQL,Other (please specify),No,Yes,Yes,Game Developer,Yes,No
1-3 years,Swift,Vue.js,PostgreSQL,Travis CI,Yes,No,Yes,Network Engineer,Yes,Yes
More than 5 years,Other (please specify),Scikit-Learn,PostgreSQL,Docker,No,No,Yes,Machine Learning Engineer,Yes,Yes
1-3 years,Go,Wireshark,Microsoft SQL Server,Azure,No,No,No,Cybersecurity Analyst,Yes,No
Less than 1 year,Dart,SwiftUI,SQLite,Terraform,No,Yes,Yes,Other (please specify),Yes,No
More than 5 years,Go,.NET Core,Redis,Docker,No,No,Yes,Software Engineer,Yes,Yes
None,Rust,WPF,MySQL,GitLab CI/CD,No,Yes,No,DevOps Engineer,Yes,No
Less than 1 year,Go,Numpy,CassandraDB,CircleCI,No,Yes,Yes,Product Manager,No,Yes
Less than 1 year,Python,.NET Core,Microsoft SQL Server,Azure,Yes,No,No,Full-Stack Developer,Yes,Yes
3-5 years,Kotlin,Burp Suite,CassandraDB,Terraform,Yes,No,Yes,Full-Stack Developer,Yes,Yes
Less than 1 year,Swift,Xamarin,PostgreSQL,Jenkins,Yes,No,Yes,Data Scientist,No,Yes
Less than 1 year,JavaScript,Flask,MySQL,Git,Yes,No,No,Machine Learning Engineer,Yes,Yes
3-5 years,TypeScript,JavaFX,Redis,Azure,No,Yes,Yes,Database Administrator,Yes,Yes
Less than 1 year,Ruby,Kali Linux,CassandraDB,Terraform,Yes,No,No,Machine Learning Engineer,Yes,No
1-3 years,None,Godot,Other (please specify),Ansible,No,Yes,Yes,Back-End Developer,No,Yes
Less than 1 year,Rust,WPF,Redis,Docker,Yes,No,No,Product Manager,No,Yes
More than 5 years,C++,.NET Core,Microsoft SQL Server,CircleCI,No,Yes,No,Full-Stack Developer,No,Yes
More than 5 years,Other (please specify),OpenVAS,CassandraDB,DigitalOcean,Yes,No,Yes,Cybersecurity Analyst,No,No
None,Java,Xamarin,PostgreSQL,Apache,No,No,No,Front-End Developer,No,Yes
3-5 years,Other (please specify),Next.js,OracleDB,Docker,Yes,Yes,No,Front-End Developer,No,No
Less than 1 year,PHP,Scikit-Learn,CassandraDB,Travis CI,Yes,Yes,No,Cybersecurity Analyst,Yes,No
Less than 1 year,PHP,SwiftUI,CassandraDB,Ansible,No,Yes,No,Game Developer,Yes,No
3-5 years,Other (please specify),SwiftUI,SQLite,Kubernetes,No,Yes,Yes,Back-End Developer,Yes,No
1-3 years,C,Express.js,MongoDB,Jenkins,Yes,No,Yes,Product Manager,No,Yes
Less than 1 year,Go,GTK,Microsoft SQL Server,Azure,Yes,No,Yes,Mobile Developer,Yes,Yes
3-5 years,Go,Wireshark,Redis,Nginx,Yes,No,No,Data Engineer,No,No
1-3 years,Kotlin,Electron,CassandraDB,Ansible,No,No,No,DevOps Engineer,Yes,Yes
More than 5 years,C,Pandas,Microsoft SQL Server,Nginx,Yes,No,No,Product Manager,No,No
Less than 1 year,JavaScript,OpenVAS,PostgreSQL,Apache,No,No,Yes,Back-End Developer,No,Yes
Less than 1 year,JavaScript,Flask,OracleDB,DigitalOcean,Yes,Yes,Yes,Mobile Developer,No,No
Less than 1 year,None,Express.js,CassandraDB,GitLab CI/CD,No,Yes,Yes,Back-End Developer,Yes,Yes
Less than 1 year,Ruby,Numpy,Redis,Other (please specify),Yes,No,No,Software Engineer,Yes,No
None,Python,Svelte,OracleDB,Travis CI,Yes,No,No,Product Manager,Yes,No
Less than 1 year,Java,PyTorch,MySQL,DigitalOcean,No,Yes,No,Machine Learning Engineer,Yes,Yes
1-3 years,Go,Godot,Microsoft SQL Server,Nginx,Yes,No,No,Software Engineer,No,Yes
Less than 1 year,Ruby,Svelte,CassandraDB,Terraform,No,No,No,Network Engineer,Yes,Yes
More than 5 years,Java,WPF,Redis,Other (please specify),Yes,No,Yes,IT Support Specialist,Yes,No
More than 5 years,None,Snort,Microsoft SQL Server,GitLab CI/CD,Yes,Yes,No,Software Engineer,Yes,Yes
3-5 years,C#,Nestjs,MongoDB,Google Cloud Platform,No,No,Yes,Full-Stack Developer,Yes,No
More than 5 years,Kotlin,Pandas,MongoDB,Terraform,Yes,No,Yes,IT Support Specialist,Yes,Yes
3-5 years,Rust,JavaFX,SQLite,DigitalOcean,No,Yes,Yes,Robotics Engineer,No,Yes
None,Dart,React Native,Microsoft SQL Server,Google Cloud Platform,Yes,Yes,No,Data Scientist,No,Yes
None,TypeScript,PyTorch,PostgreSQL,Other (please specify),No,No,Yes,Other (please specify),Yes,Yes
1-3 years,Java,Keras,Other (please specify),Kubernetes,No,No,No,Robotics Engineer,Yes,No
Less than 1 year,Python,Express.js,MySQL,Other (please specify),Yes,No,Yes,Systems Analyst,Yes,Yes
None,Other (please specify),React,MongoDB,GitLab CI/CD,No,Yes,No,Other (please specify),Yes,Yes
3-5 years,Ruby,SwiftUI,MongoDB,Terraform,Yes,Yes,No,Robotics Engineer,Yes,No
More than 5 years,C++,TensorFlow,CassandraDB,GitLab CI/CD,No,No,No,Systems Analyst,Yes,No
Less than 1 year,Go,Vue.js,Microsoft SQL Server,Kubernetes,No,Yes,No,Project Manager,No,Yes
More than 5 years,Java,Flutter,PostgreSQL,Git,No,Yes,Yes,AI Researcher,Yes,No
3-5 years,C#,Vue.js,Microsoft SQL Server,Other (please specify),Yes,Yes,No,Systems Analyst,Yes,No
3-5 years,Kotlin,Django,Other (please specify),Docker,No,No,No,Project Manager,No,No
1-3 years,C++,Electron,PostgreSQL,GitLab CI/CD,No,Yes,Yes,Other (please specify),Yes,No
More than 5 years,Rust,Flask,SQLite,CircleCI,Yes,No,No,AI Researcher,No,Yes
1-3 years,PHP,PyTorch,OracleDB,DigitalOcean,Yes,Yes,No,Database Administrator,Yes,No
More than 5 years,Swift,React,MongoDB,Travis CI,Yes,Yes,No,Data Scientist,No,No
Less than 1 year,Python,Next.js,OracleDB,DigitalOcean,No,No,Yes,Software Engineer,Yes,No
Less than 1 year,Go,Django,Redis,Azure,Yes,Yes,Yes,Front-End Developer,Yes,Yes
None,C#,Angular,MySQL,Azure,No,Yes,No,Cloud Engineer,Yes,Yes
More than 5 years,Rust,PyTorch,MongoDB,Terraform,No,Yes,Yes,Mobile Developer,Yes,Yes
More than 5 years,None,Vue.js,PostgreSQL,Docker,No,Yes,No,Machine Learning Engineer,Yes,No
None,TypeScript,Metasploit,SQLite,Jenkins,No,Yes,Yes,Cybersecurity Analyst,Yes,Yes
Less than 1 year,Ruby,Next.js,Microsoft SQL Server,Nginx,No,No,Yes,Project Manager,Yes,Yes
3-5 years,Swift,Wireshark,SQLite,Azure,No,No,No,Data Engineer,No,No
More than 5 years,PHP,Apache Spark,SQLite,AWS,No,No,No,Machine Learning Engineer,No,Yes
More than 5 years,None,.NET Core,SQLite,Git,Yes,No,Yes,Network Engineer,Yes,Yes
More than 5 years,None,Flutter,MySQL,Terraform,No,Yes,Yes,Systems Analyst,No,No
1-3 years,Ruby,React,OracleDB,Kubernetes,No,Yes,Yes,Game Developer,No,Yes
Less than 1 year,JavaScript,Flask,Microsoft SQL Server,Terraform,Yes,Yes,No,Systems Analyst,Yes,Yes
More than 5 years,Ruby,PyTorch,CassandraDB,Kubernetes,Yes,Yes,Yes,Mobile Developer,No,Yes
More than 5 years,C#,TensorFlow,PostgreSQL,Other (please specify),No,No,No,Full-Stack Developer,No,No
1-3 years,Other (please specify),WPF,CassandraDB,Google Cloud Platform,Yes,Yes,Yes,Software Engineer,Yes,No
None,None,Snort,MongoDB,CircleCI,Yes,No,Yes,Database Administrator,No,Yes
1-3 years,JavaScript,Godot,Redis,Docker,No,No,No,Robotics Engineer,Yes,No
1-3 years,Swift,Flask,OracleDB,Other (please specify),No,Yes,No,Game Developer,Yes,Yes
3-5 years,Swift,GTK,SQLite,DigitalOcean,Yes,Yes,No,Front-End Developer,Yes,Yes
Less than 1 year,Kotlin,OpenVAS,Redis,Ansible,Yes,Yes,Yes,Front-End Developer,Yes,No
Less than 1 year,Other (please specify),Flutter,OracleDB,DigitalOcean,Yes,No,Yes,Data Scientist,Yes,Yes
None,None,Numpy,Redis,AWS,Yes,No,Yes,Robotics Engineer,Yes,No
1-3 years,JavaScript,Pandas,Microsoft SQL Server,Apache,Yes,Yes,Yes,Data Engineer,Yes,No
1-3 years,Other (please specify),Unity,OracleDB,Other (please specify),Yes,No,No,Cybersecurity Analyst,Yes,No
1-3 years,Dart,Nestjs,Other (please specify),GitLab CI/CD,Yes,Yes,Yes,DevOps Engineer,No,No
3-5 years,C++,Angular,MongoDB,Docker,No,Yes,No,Robotics Engineer,No,No
Less than 1 year,C,Flask,Microsoft SQL Server,Jenkins,Yes,No,No,Mobile Developer,No,No
None,Kotlin,Pandas,CassandraDB,Git,Yes,Yes,Yes,Cloud Engineer,No,Yes
None,C#,WPF,OracleDB,DigitalOcean,Yes,Yes,No,Machine Learning Engineer,No,Yes
Less than 1 year,Dart,Electron,Redis,Jenkins,No,Yes,No,Mobile Developer,No,No
3-5 years,Ruby,JavaFX,PostgreSQL,Ansible,No,Yes,No,IT Support Specialist,No,No
More than 5 years,Go,Vue.js,Other (please specify),Kubernetes,No,No,Yes,Network Engineer,No,Yes
3-5 years,None,Numpy,MongoDB,Google Cloud Platform,No,No,No,Data Engineer,No,No
